# t, hp, hx
1.139866374199999949e-02 -3.267484004799999994e-03 -3.603467580700000084e-09
1.142246106799999980e-02 -3.682427970500000078e-03 1.169008277099999969e-08
1.144626316300000057e-02 -3.786869951099999972e-03 3.767665552999999937e-09
1.147006636399999953e-02 -3.604288577900000186e-03 -1.475040521099999984e-08
1.149385845100000039e-02 -3.181398134600000194e-03 -2.152618278300000146e-08
1.151765710199999931e-02 -2.696088099499999950e-03 -2.074339813699999927e-08
1.154145837900000075e-02 -2.312887154999999830e-03 -1.387757962100000008e-08
1.156525237600000006e-02 -2.080045938100000009e-03 -1.926460072500000048e-09
1.158904806000000086e-02 -2.109925995899999962e-03 1.130727660100000058e-08
1.161285208300000087e-02 -2.414334823999999928e-03 2.007115896800000111e-08
1.163666146799999940e-02 -2.903247408600000048e-03 2.104484843000000001e-08
1.166045589600000001e-02 -3.426744672000000148e-03 1.496475944299999953e-08
1.168425227599999977e-02 -3.747408707699999980e-03 3.173316513699999892e-09
1.170804741299999972e-02 -3.761117380800000059e-03 -3.898951277399999672e-09
1.173184015400000058e-02 -3.497411732800000117e-03 2.299746290499999930e-09
1.175563048700000064e-02 -3.052758996800000214e-03 4.673426638000000100e-09
1.177942302999999968e-02 -2.590677645200000195e-03 1.241073396099999981e-08
1.180321827300000008e-02 -2.208044549300000169e-03 3.435097045599999993e-08
1.182701746999999942e-02 -1.982985295899999858e-03 4.729088406700000089e-08
1.185081909700000033e-02 -2.035493697600000099e-03 4.838083724800000316e-08
1.187462098699999975e-02 -2.385131660299999977e-03 4.324325584600000122e-08
1.189841596100000079e-02 -2.967458759700000032e-03 3.354404002999999983e-08
1.192220919100000012e-02 -3.585384911699999837e-03 2.316636478900000094e-08
1.194600059199999939e-02 -3.945743056300000072e-03 1.383606102699999927e-08
1.196979631899999959e-02 -3.970719310799999610e-03 8.165046630000000131e-09
1.199358720899999960e-02 -3.697631774499999992e-03 9.290551644599999986e-09
1.201727978599999996e-02 -3.246634567100000184e-03 1.291693519599999939e-08
1.204107206799999961e-02 -2.768235269599999843e-03 1.412310103200000071e-08
1.206486615999999984e-02 -2.279577990699999980e-03 1.706318812999999859e-08
1.208866311100000035e-02 -1.902475478799999908e-03 8.083677878099999233e-09
1.211245630300000070e-02 -1.742754575599999960e-03 -1.360014810300000069e-08
1.213624682900000043e-02 -1.820663011000000098e-03 -1.343046942199999921e-08
1.216003968799999994e-02 -2.208464413800000168e-03 -1.638020923099999862e-08
1.218383171599999974e-02 -2.856057629499999823e-03 -3.227932369999999968e-08
1.220762876199999944e-02 -3.545064654600000188e-03 -2.954693062499999962e-08
1.223141730599999928e-02 -4.003594244799999792e-03 -2.028364609200000165e-08
1.225520810299999923e-02 -4.049274850900000042e-03 -1.521921852999999852e-08
1.227899561399999930e-02 -3.763025212499999939e-03 -1.491118067100000065e-08
1.230278250299999925e-02 -3.322697492700000046e-03 -1.974570338599999958e-08
1.232657415199999926e-02 -2.819769103100000073e-03 -2.778509680099999989e-08
1.235035887600000049e-02 -2.337700795000000140e-03 -3.486548058300000163e-08
1.237414327199999955e-02 -1.943124619199999934e-03 -3.607813084099999705e-08
1.239793158299999989e-02 -1.734985294899999905e-03 -3.068857529299999696e-08
1.242172188999999920e-02 -1.824887970500000105e-03 -1.797933853699999933e-08
1.244551097699999991e-02 -2.262340564100000055e-03 -1.427380752000000048e-08
1.246930155099999944e-02 -2.996873150300000035e-03 -1.915505192699999920e-08
1.249309132000000003e-02 -3.788828364000000008e-03 -9.836776662300000128e-09
1.251687857499999938e-02 -4.277743001400000425e-03 -1.908603505700000111e-08
1.254066946400000070e-02 -4.293883717100000115e-03 -3.694354971600000258e-08
1.256446182899999958e-02 -3.959863232500000253e-03 -3.162414639499999710e-08
1.258825303399999963e-02 -3.486663821500000059e-03 -2.725313328000000071e-08
1.261204487800000017e-02 -2.983676433499999996e-03 -2.266592640699999837e-08
1.263583604499999950e-02 -2.436434060000000103e-03 -9.863906015300000460e-09
1.265962369200000076e-02 -1.948548375700000007e-03 5.445012975100000051e-09
1.268341912999999994e-02 -1.591099517699999955e-03 1.644556455100000162e-08
1.270720362099999994e-02 -1.392255033099999966e-03 2.014993333099999836e-08
1.273098945700000019e-02 -1.458428014500000054e-03 1.668276930599999972e-08
1.275478111900000058e-02 -1.895305534699999895e-03 5.857606744699999662e-09
1.277856699900000066e-02 -2.676272643999999968e-03 -6.841788360200000217e-09
1.280235597900000050e-02 -3.598764134200000027e-03 -2.023976560300000142e-08
1.282614379200000022e-02 -4.313412132499999663e-03 -2.883069750100000155e-08
1.284992708299999981e-02 -4.503447766700000195e-03 -1.534887799099999848e-08
1.287371332800000059e-02 -4.272684001999999676e-03 -1.388570198900000038e-08
1.289750085800000015e-02 -3.853565250300000113e-03 -3.412507768400000039e-08
1.292128646899999914e-02 -3.335842134400000131e-03 -2.633484975900000116e-08
1.294507293199999992e-02 -2.810591276600000153e-03 -1.804397744599999897e-08
1.296886300800000058e-02 -2.317387970199999946e-03 -3.059700583800000019e-08
1.299264919999999941e-02 -1.864434967200000095e-03 -3.380010832599999861e-08
1.301615620599999926e-02 -1.521324196900000108e-03 -2.929202411899999911e-08
1.303994503900000011e-02 -1.339941687600000033e-03 -2.284291932699999961e-08
1.306373925300000072e-02 -1.414211649899999989e-03 -1.248494057200000067e-08
1.308754330899999929e-02 -1.815297315599999914e-03 -8.658347294700000239e-10
1.311134202299999926e-02 -2.502744257899999856e-03 9.036051042300000216e-09
1.313514145900000069e-02 -3.369044585300000165e-03 1.350858201299999978e-08
1.315893830999999986e-02 -4.130404541500000068e-03 5.711788761699999715e-09
1.318273149500000067e-02 -4.462978056999999596e-03 -7.006216033400000355e-11
1.320652367099999988e-02 -4.354710056999999690e-03 -3.582375878800000027e-09
1.323031343699999918e-02 -3.997494023999999778e-03 -2.600981554200000136e-08
1.325409693599999966e-02 -3.513651856600000147e-03 -3.201093369300000221e-08
1.327788663899999964e-02 -3.044504430399999888e-03 -1.197104380800000039e-08
1.330167679700000084e-02 -2.578235550699999826e-03 1.084444542000000040e-08
1.332545840299999979e-02 -2.104664862200000212e-03 3.191674631199999920e-08
1.334924844899999970e-02 -1.732890939900000012e-03 3.342196618300000135e-08
1.337304445100000010e-02 -1.468498467500000022e-03 3.009793798699999906e-08
1.339683509699999935e-02 -1.355245720000000089e-03 3.916861888000000114e-08
1.342062562700000079e-02 -1.450462186900000052e-03 4.520178047299999883e-08
1.344441437899999980e-02 -1.735488008000000059e-03 5.524143426799999781e-08
1.346820340600000075e-02 -2.256312479199999894e-03 8.040424699800000220e-08
1.349199470599999999e-02 -3.004176000699999849e-03 1.026803151099999947e-07
1.351578206199999937e-02 -3.800656446599999950e-03 1.170576685399999963e-07
1.353957275899999972e-02 -4.328149599800000351e-03 1.223415452099999967e-07
1.356335945100000002e-02 -4.387409576000000401e-03 1.159390304199999962e-07
1.358714595499999934e-02 -4.123566561900000003e-03 9.827409992100000560e-08
1.361093259399999943e-02 -3.694034094299999786e-03 5.573312457300000112e-08
1.363472231900000019e-02 -3.239819732899999923e-03 5.090710983999999680e-09
1.365851369800000041e-02 -2.819050979099999889e-03 -2.633653794500000121e-08
1.368229822699999938e-02 -2.392749437600000077e-03 -4.981934281999999740e-08
1.370608010900000069e-02 -2.034084932999999980e-03 -6.816341962899999379e-08
1.372986318200000028e-02 -1.750562538699999967e-03 -7.972373848000000107e-08
1.375365438000000079e-02 -1.548169212599999952e-03 -9.927580608299999691e-08
1.377744470400000046e-02 -1.478453829600000040e-03 -7.777690361200000636e-08
1.380125134300000042e-02 -1.503544508300000068e-03 -1.069720906399999984e-07
1.382505817500000005e-02 -1.634665039099999920e-03 -1.621768794999999966e-07
1.384886415700000047e-02 -1.928490633300000050e-03 -1.553812159600000035e-07
1.387266244899999952e-02 -2.368527279999999794e-03 -1.944513678200000031e-07
1.389645374400000008e-02 -2.993637664900000023e-03 -2.573200378000000193e-07
1.392024324799999956e-02 -3.675411893599999941e-03 -2.995129924799999797e-07
1.394403057799999991e-02 -4.108986431500000029e-03 -3.289220605000000198e-07
